0	0	8
0	1	29
0	7	8
0	3	30
0	2	4
0	5	4
0	6	3
0	4	2
1	21	3
1	11	2
1	29	3
1	15	2
1	14	3
1	27	2
1	26	2
1	25	2
1	12	2
1	19	3
1	10	6
1	24	2
1	20	2
1	13	2
1	23	10
1	22	3
1	9	5
1	31	2
1	30	5
1	0	4
1	8	3
1	37	5
1	36	3
1	35	3
1	16	2
1	32	2
1	17	3
1	34	7
2	45	2
2	38	2
2	40	2
2	41	5
2	42	5
2	43	3
2	49	4
2	48	3
2	44	2
2	47	2
2	39	2
2	46	2
3	73	2
3	60	3
3	61	2
3	62	2
3	63	3
3	70	4
3	64	3
3	65	2
3	59	4
3	74	2
3	85	2
3	81	2
3	69	3
3	66	2
3	84	5
3	82	3
3	68	2
3	80	3
3	83	2
3	79	2
3	71	2
3	75	2
3	76	2
3	77	2
3	78	6
3	50	2
3	51	3
3	52	10
3	58	3
3	53	3
3	54	2
3	72	4
3	55	3
3	56	2
3	57	2
3	67	5
4	148	6
4	125	3
4	149	13
4	150	7
4	98	2
4	151	3
4	122	2
4	117	2
4	116	2
4	115	6
4	114	10
4	54	3
4	119	18
4	111	10
4	113	4
4	58	12
4	118	5
4	155	4
4	124	2
4	154	4
4	153	2
4	152	11
4	123	11
4	112	3
4	110	2
4	109	2
4	90	2
4	91	3
4	92	6
4	93	7
4	102	3
4	130	4
4	131	10
4	94	3
4	120	16
4	89	10
4	101	3
4	95	3
4	132	3
4	133	4
4	134	3
4	135	8
4	137	20
4	96	4
4	136	2
4	97	7
4	100	6
4	99	2
4	138	6
4	139	5
4	108	2
4	147	8
4	107	9
4	126	2
4	79	3
4	127	39
4	106	3
4	105	6
4	104	4
4	129	4
4	128	2
4	145	2
4	144	2
4	143	8
4	86	6
4	87	4
4	103	5
4	88	3
4	141	2
4	140	2
4	146	3
4	142	6
4	121	2
5	156	2
5	52	2
5	158	2
5	157	4
5	72	2
5	159	3
6	160	3
6	162	4
6	166	2
6	179	4
6	131	4
6	161	2
6	178	6
6	172	3
6	165	2
6	177	5
6	168	3
6	95	2
6	164	9
6	176	3
6	97	2
6	170	5
6	175	2
6	163	4
6	174	4
6	171	3
6	173	12
6	169	4
6	167	3
7	195	2
7	191	2
7	197	2
7	88	4
7	182	2
7	196	2
7	194	13
7	185	2
7	190	2
7	192	3
7	189	20
7	183	9
7	181	2
7	180	2
7	193	8
7	188	4
7	184	3
7	187	2
7	186	11
8	198	2
8	199	4
8	201	4
8	7	2
8	200	4
9	202	2
9	203	4
9	218	7
9	204	8
9	226	7
9	208	2
9	207	4
9	206	3
9	0	2
9	209	4
9	228	14
9	211	3
9	210	2
9	219	11
9	212	5
9	224	20
9	213	5
9	223	5
9	214	2
9	3	4
9	222	3
9	215	5
9	221	2
9	216	4
9	217	3
9	205	7
9	225	5
9	220	2
9	227	6
10	230	86
10	257	9
10	258	69
10	71	33
10	237	2
10	229	30
10	259	33
10	260	101
10	261	82
10	262	80
10	238	61
10	232	37
10	73	63
10	263	10
10	264	71
10	265	46
10	246	72
10	239	74
10	245	70
10	244	3
10	231	58
10	224	69
10	240	66
10	266	94
10	241	83
10	242	67
10	256	74
10	255	91
10	243	43
10	236	78
10	250	26
10	235	65
10	248	2
10	249	2
10	191	222
10	252	154
10	251	11
10	233	74
10	247	80
10	253	23
10	234	67
10	254	78
11	272	2
11	275	2
11	273	2
11	274	2
11	156	2
11	271	5
11	270	2
11	269	2
11	267	5
11	158	6
11	268	2
11	276	2
12	303	3
12	206	5
12	298	2
12	299	2
12	302	2
12	300	3
12	46	2
12	179	5
12	288	2
12	296	2
12	287	8
12	286	3
12	289	24
12	285	2
12	290	2
12	284	5
12	283	5
12	291	4
12	297	3
12	282	4
12	292	5
12	293	6
12	232	2
12	137	2
12	294	7
12	295	2
12	279	3
12	278	11
12	281	6
12	280	8
12	277	3
12	304	4
12	65	2
12	204	13
12	301	2
13	305	3
13	310	2
13	311	8
13	306	2
13	308	17
13	307	2
13	309	3
13	312	2
14	316	3
14	313	2
14	110	2
14	314	7
14	315	4
15	124	5
15	320	3
15	318	3
15	241	4
15	319	3
16	322	2
16	327	6
16	326	2
16	0	4
16	323	3
16	328	3
16	324	4
16	321	5
17	329	6
17	334	20
17	331	2
17	332	5
17	335	3
17	333	2
17	269	3
17	330	5
18	343	3
18	347	21
18	345	4
18	346	2
18	26	3
18	344	2
18	339	4
18	342	21
18	348	16
18	239	6
18	341	4
18	340	5
18	338	2
18	336	5
18	3	2
18	337	2
19	351	3
19	352	14
19	355	2
19	354	13
19	357	24
19	358	18
19	356	23
19	353	18
19	359	2
19	350	2
19	349	4
20	378	9
20	381	5
20	206	2
20	401	5
20	3	12
20	395	8
20	230	2
20	391	4
20	302	7
20	124	2
20	392	2
20	380	10
20	393	2
20	2	4
20	377	2
20	379	2
20	4	5
20	396	2
20	382	2
20	291	3
20	69	2
20	383	2
20	394	2
20	400	3
20	404	4
20	387	2
20	232	9
20	365	3
20	364	3
20	373	2
20	403	3
20	149	5
20	384	3
20	361	2
20	372	2
20	371	4
20	362	2
20	363	6
20	376	7
20	360	8
20	374	2
20	386	2
20	369	5
20	367	5
20	368	2
20	269	6
20	370	11
20	399	4
20	390	2
20	398	4
20	375	3
20	402	4
20	385	2
20	397	2
20	388	2
20	366	3
20	406	14
20	389	4
20	405	5
21	204	2
21	409	4
21	408	3
21	147	11
21	410	2
21	411	3
21	407	2
21	150	2
21	131	2
21	412	3
21	165	2
21	4	2
22	439	2
22	442	2
22	381	2
22	432	3
22	423	6
22	431	26
22	86	2
22	433	11
22	440	9
22	424	2
22	444	6
22	426	6
22	422	10
22	414	2
22	430	4
22	415	2
22	416	2
22	288	7
22	436	4
22	417	2
22	418	3
22	435	6
22	437	4
22	438	3
22	179	5
22	413	7
22	419	2
22	434	64
22	428	3
22	420	2
22	427	2
22	421	6
22	429	3
22	443	4
22	174	3
22	441	4
22	445	17
22	425	2
22	119	4
23	117	2
23	446	20
23	452	3
23	340	5
23	447	12
23	458	2
23	448	2
23	456	32
23	119	27
23	451	2
23	197	3
23	453	5
23	455	5
23	449	2
23	454	2
23	450	2
23	457	2
24	461	29
24	463	3
24	459	2
24	464	20
24	465	2
24	460	4
24	462	4
25	492	17
25	480	24
25	481	3
25	474	33
25	503	5
25	482	16
25	473	5
25	499	7
25	501	3
25	477	65
25	287	14
25	485	13
25	468	7
25	488	72
25	491	3
25	493	6
25	466	40
25	469	22
25	472	4
25	504	2
25	471	2
25	470	18
25	475	4
25	467	3
25	498	2
25	478	138
25	327	20
25	497	16
25	496	2
25	505	5
25	500	3
25	483	10
25	399	18
25	495	9
25	486	2
25	303	58
25	206	18
25	484	9
25	284	231
25	398	4
25	476	2
25	67	2
25	479	6
25	490	7
25	383	50
25	502	15
25	494	9
25	489	2
25	487	67
26	508	3
26	512	2
26	510	3
26	511	4
26	506	5
27	515	4
27	520	2
27	297	2
27	524	25
27	529	4
27	519	19
27	463	15
27	295	3
27	531	3
27	383	3
27	522	2
27	521	3
27	251	8
27	530	2
27	254	16
27	516	3
27	532	2
27	317	3
27	119	4
27	528	4
27	527	3
27	526	3
27	513	2
27	525	2
27	380	5
27	426	2
27	182	2
27	46	10
27	517	2
27	117	6
27	224	2
27	523	2
27	488	4
27	518	7
27	514	2
27	179	10
27	533	5
28	269	5
28	546	6
28	178	2
28	357	9
28	534	2
28	536	3
28	542	2
28	280	4
28	537	2
28	545	8
28	370	12
28	523	2
28	544	12
28	543	8
28	538	5
28	539	2
28	540	4
28	541	5
28	535	6
29	547	2
29	550	6
29	549	6
29	548	2
29	186	3
29	137	6
30	278	2
30	41	2
30	553	2
30	554	7
30	555	2
30	280	2
30	556	3
30	552	4
30	42	2
31	406	6
31	560	85
31	559	2
31	558	6
31	401	7
31	557	28
32	564	2
32	562	2
32	565	5
32	561	2
32	568	16
32	566	2
32	567	2
32	563	2
32	406	17
33	573	2
33	575	2
33	576	2
33	577	2
33	579	3
33	571	2
33	389	2
33	581	2
33	580	2
33	578	2
33	252	2
33	574	2
33	569	2
33	570	2
33	572	2
33	11	2
34	582	12
34	585	2
34	181	23
34	204	49
34	583	9
34	188	4
34	586	7
34	584	13
35	591	2
35	26	9
35	587	2
35	592	2
35	590	6
35	596	2
35	593	2
35	594	2
